Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,60,6,15.5,1.9,4.9,.397,1.3,3.5,.374,0.6,1.4,.457,.533,0.7,0.8,.898,0.2,1.0,1.2,0.6,0.5,0.1,0.4,1.8,5.9
2,Quincy Acy\acyqu01,PF,26,TOT,32,1,14.4,2.0,4.5,.448,1.1,2.4,.447,0.9,2.1,.448,.566,1.3,1.8,.768,0.5,2.5,3.0,0.5,0.3,0.4,0.6,1.8,6.4
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,26,1,15.9,2.3,4.8,.468,1.3,2.7,.478,1.0,2.2,.456,.599,1.6,2.0,.774,0.6,2.8,3.4,0.6,0.4,0.5,0.6,1.8,7.4
3,Steven Adams\adamsst01,C,23,OKC,69,69,30.2,4.9,8.4,.579,0.0,0.0,.000,4.9,8.4,.581,.579,2.0,3.3,.611,3.4,4.3,7.7,1.1,1.1,1.0,1.9,2.4,11.7
4,Arron Afflalo\afflaar01,SG,31,SAC,58,43,25.9,2.9,6.9,.430,1.0,2.5,.400,1.9,4.4,.447,.503,1.4,1.5,.898,0.2,1.9,2.1,1.2,0.4,0.1,0.7,1.7,8.3
5,Alexis Ajinca\ajincal01,C,28,NOP,32,12,14.0,1.8,3.9,.476,0.0,0.1,.000,1.8,3.8,.488,.476,0.7,0.9,.733,1.1,3.1,4.2,0.3,0.5,0.6,0.8,1.8,4.4
6,Cole Aldrich\aldrico01,C,28,MIN,60,0,8.5,0.7,1.3,.538,0.0,0.0,,0.7,1.3,.538,.538,0.3,0.4,.682,0.8,1.7,2.6,0.4,0.4,0.4,0.3,1.4,1.7
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,64,64,32.6,7.0,14.8,.476,0.3,0.7,.447,6.7,14.1,.477,.487,3.2,3.9,.813,2.5,5.0,7.5,2.1,0.6,1.1,1.4,2.2,17.6
8,Lavoy Allen\allenla01,PF,27,IND,53,5,14.5,1.3,2.8,.464,0.0,0.0,.000,1.3,2.8,.467,.464,0.3,0.4,.652,1.7,1.9,3.6,1.0,0.3,0.4,0.5,1.2,2.9
