Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
1,Kwon Alexander\AlexKw00,TAM,22,MLB,16,16,1,38,1,38,7,1,0,1,4,0,3.0,108,37,
2,Landon Collins*+\CollLa00,NYG,22,SS,16,16,5,72,1,44,13,0,0,1,6,0,4.0,100,25,
3,Tahir Whitehead\WhitTa00,DET,26,lb/MLB,15,15,0,0,0,0,6,,,,,,,99,33,
4,Alec Ogletree\OgleAl00,LAR,25,MLB,16,16,2,15,0,8,11,1,0,1,0,0,,98,38,
5,Telvin Smith\SmitTe01,JAX,25,LB,16,16,2,0,0,0,8,0,0,1,0,0,1.0,98,20,
6,Zach Brown*\BrowZa00,BUF,27,LB,16,16,1,0,0,0,4,2,0,0,0,0,4.0,97,52,
7,Paul Posluszny\PoluPa99,JAX,32,MLB,16,16,1,0,0,0,3,,,,,,1.5,97,36,
8,Jonathan Cyprien\CyprJo00,JAX,26,lb/SS,16,16,0,0,0,0,4,1,0,1,0,0,1.0,96,30,
9,Antoine Bethea\BethAn20,SFO,32,SS,16,16,1,0,0,0,3,1,0,1,5,0,,95,15,
10,Christian Kirksey\KirkCh00,CLE,24,LB,16,16,0,0,0,0,3,,,,,,2.5,93,50,
11,Sean Lee*+\LeexSe99,DAL,30,LB,15,15,0,0,0,0,1,0,0,1,0,0,,93,52,
12,Mark Barron\BarrMa00,LAR,27,lb/S,16,16,2,8,0,7,8,0,0,1,0,0,1.0,90,27,
13,Zach Orr\OrrxZa00,BAL,24,LB,15,15,3,23,0,14,5,1,0,2,0,0,,89,41,
14,Mason Foster\FostMa00,WAS,27,MLB,16,13,0,0,0,0,3,1,0,0,0,0,1.0,88,35,
15,Jerrell Freeman\FreeJe00,CHI,30,LB,12,12,0,0,0,0,4,,,,,,,86,24,
16,Malcolm Smith\SmitMa02,OAK,27,cb/LB,15,14,1,0,0,0,3,2,0,1,1,0,,86,17,
17,Bobby Wagner*+\WagnBo00,SEA,26,MLB,16,16,1,9,0,9,3,0,0,1,0,0,4.5,86,82,
18,Jamie Collins\CollJa00,2TM,26,,15,14,2,31,0,18,3,2,0,0,0,0,3.0,79,33,
19,Bradley McDougald\McDoBr01,TAM,26,S,16,16,2,32,0,32,10,0,0,1,6,0,,79,12,
20,Benardrick McKinney\McKiBe00,HOU,24,LB,16,16,0,0,0,0,2,1,0,0,0,0,5.0,79,50,
21,Lawrence Timmons\TimmLa99,PIT,30,lolb/RILB,16,16,2,74,0,58,5,1,0,0,0,0,2.5,78,36,
22,Preston Brown\BrowPr00,BUF,24,MLB,16,16,0,0,0,0,1,1,0,2,0,0,1.0,76,59,
23,Deion Jones\JoneDe01,ATL,22,LB,15,13,3,165,2,90,11,1,0,0,0,0,,75,31,
24,Tony Jefferson\JeffTo00,ARI,24,SS,15,14,0,0,0,0,5,2,0,2,0,0,2.0,74,18,
