,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Connor McDavid\mcdavco01,20,C,EDM,74,26,61,87,23,26,23,3,0,6,40,20,1,217,12.0,1567,21:10,24,32,325,418,43.7
2,Sidney Crosby\crosbsi01,29,C,PIT,68,42,40,82,20,24,29,13,0,5,30,10,0,237,17.7,1360,19:00,22,75,771,822,48.4
3,Patrick Kane\kanepa01,28,RW,CHI,74,33,48,81,13,30,26,7,0,5,34,14,0,272,12.1,1598,21:36,14,27,5,40,11.1
4,Brad Marchand\marchbr03,28,LW,BOS,74,37,43,80,15,64,26,8,3,7,28,13,2,215,17.2,1452,19:37,33,48,13,23,36.1
5,Nikita Kucherov\kucheni01,23,RW,TBL,67,38,40,78,13,36,21,17,0,6,28,12,0,229,16.6,1299,19:23,20,27,0,0,
6,Nicklas Backstrom\backsni02,29,C,WSH,73,22,56,78,16,36,15,7,0,5,33,23,0,144,15.3,1337,18:19,30,41,616,586,51.2
7,Mark Scheifele\scheima01,23,C,WPG,72,29,46,75,11,36,22,7,0,4,38,7,1,141,20.6,1466,20:22,32,47,570,742,43.4
8,Evgeni Malkin\malkiev01,30,C,PIT,62,33,39,72,18,77,22,11,0,6,27,12,0,191,17.3,1154,18:37,25,40,365,481,43.1
9,Brent Burns\burnsbr01,31,D,SJS,74,27,44,71,19,38,20,7,0,5,28,15,1,288,9.4,1842,24:54,125,65,0,0,
10,Leon Draisaitl\draisle01,21,C,EDM,74,26,43,69,4,20,16,10,0,3,28,15,0,156,16.7,1394,18:50,31,36,445,469,48.7
11,Tyler Seguin\seguity01,25,C,DAL,74,24,45,69,-13,22,14,10,0,3,28,17,0,272,8.8,1371,18:31,24,58,347,335,50.9
12,Erik Karlsson\karlser01,26,D,OTT,73,14,53,67,6,22,12,2,0,4,28,23,2,202,6.9,1963,26:53,197,64,0,0,
13,Jamie Benn\bennja01,27,LW,DAL,69,25,41,66,-5,60,13,11,1,4,28,13,0,183,13.7,1345,19:29,44,83,200,194,50.8
14,Mikael Granlund\granlmi01,24,C,MIN,73,25,41,66,21,12,15,7,3,3,28,12,1,166,15.1,1384,18:58,47,47,15,15,50.0
15,Artemi Panarin\panarar01,25,LW,CHI,74,24,42,66,19,21,17,7,0,5,34,8,0,182,13.2,1452,19:37,14,19,2,7,22.2
16,Vladimir Tarasenko\tarasvl01,25,RW,STL,73,34,31,65,-5,12,25,9,0,6,19,12,0,242,14.0,1344,18:24,29,40,5,4,55.6
17,Phil Kessel\kesseph01,29,RW,PIT,74,22,43,65,4,20,14,8,0,4,23,20,0,205,10.7,1333,18:01,15,12,4,10,28.6
18,David Pastrnak\pastrda01,20,RW,BOS,67,32,32,64,8,32,22,10,0,6,20,12,0,243,13.2,1212,18:05,28,65,2,1,66.7
